"","#","Name","Symbol","Market Cap","Price","Circulating Supply","Volume (24h)","% 1h","% 24h","% 7d"
"1",1,"BTC
                        Bitcoin","BTC","$185,249,275,108","$11008.60","16,827,687","$9,610,880,000","1.77%","-1.62%","-5.73%"
"2",2,"ETH
                        Ethereum","ETH","$102,179,598,057","$1050.97","97,224,086","$3,736,510,000","1.24%","0.34%","-0.72%"
"3",3,"XRP
                        Ripple","XRP","$47,995,086,203","$1.24","38,739,142,811
                        
                        
                            *","$1,906,290,000","2.07%","-5.58%","-22.85%"
"4",4,"BCH
                        Bitcoin Cash","BCH","$27,118,507,299","$1601.53","16,932,875","$613,278,000","1.68%","-1.86%","-11.40%"
"5",5,"ADA
                        Cardano","ADA","$16,275,199,989","$0.627730","25,927,070,538
                        
                        
                            *","$677,238,000","4.39%","-1.22%","-4.38%"
"6",6,"XLM
                        Stellar","XLM","$11,017,555,663","$0.616607","17,868,035,333
                        
                        
                            *","$740,902,000","4.28%","0.28%","20.02%"
"7",7,"LTC
                        Litecoin","LTC","$9,708,338,478","$176.74","54,930,058","$380,662,000","1.39%","-1.17%","-9.35%"
"8",8,"EOS
                        EOS","EOS","$8,923,917,775","$14.18","629,402,314
                        
                        
                            *","$1,407,460,000","1.91%","1.49%","27.46%"
"9",9,"NEO
                        NEO","NEO","$8,832,135,000","$135.88","65,000,000
                        
                        
                            *","$301,199,000","3.06%","-0.64%","-4.83%"
"10",10,"XEM
                        NEM","XEM","$7,505,486,999","$0.833943","8,999,999,999
                        
                        
                            *","$156,212,000","6.22%","-11.04%","-24.07%"
"11",11,"MIOTA
                        IOTA","MIOTA","$6,530,895,534","$2.35","2,779,530,283
                        
                        
                            *","$63,819,100","2.03%","-1.08%","-15.47%"
"12",12,"DASH
                        Dash","DASH","$6,146,707,507","$783.89","7,841,308","$104,405,000","2.05%","-0.75%","-7.89%"
"13",13,"XMR
                        Monero","XMR","$4,822,715,977","$308.20","15,648,211","$75,695,200","1.85%","-1.25%","-8.00%"
