Currency,Exact Name
SBD,
CPC,CPC Capricoin
CRB,
PPC,
LGD,
ENRG,
DGD,
MCO,
EMC2,
XLM,
PAY,PAY TenX
START,START Startcoin
GBYTE,
OK,
XEL,
BLITZ,
OMNI,
NMR,
GAME,GAME GameCredits
SPHR,SPHR Sphere
SPR,SPR SpreadCoin
BRK,
WINGS,
SWIFT,
BTG,BTG Bitcoin Gold
RADS,
BCY,
ETC,
EGC,
WAVES,WAVES Waves
PDC,
ADX,
STRAT,
ERC,ERC EuropeCoin
DCT,
CLAM,
VRM,
STEEM,STEEM Steem
GOLOS,GOLOS Golos
BLK,
PTOY,
COVAL,
CLOAK,
KORE,
FLDC,
SWT,SWT Swarm City
EXP,EXP Expanse
FLO,
PKB,
ABY,
ADT,
DCR,DCR Decred
NXT,
EDG,
AUR,AUR Auroracoin
DOGE,
LUN,LUN Lunyr
CURE,
EFL,
BURST,BURST Burst
ETH,ETH Ethereum
TX,
XVC,
CFI,
ARK,
MAID,
GRS,
VIA,
POT,
MUE,
CANN,CANN CannabisCoin
XDN,
KMD,
TRIG,
TKS,
BTCD,
ION,
VTC,
PINK,PINK PinkCoin
SIB,
CRW,
SALT,
MONA,MONA MonaCoin
SYS,SYS Syscoin
BCH,
RISE,
MEME,
CLUB,
SLS,
HMQ,
USNBT,
NAV,
AGRS,
VOX,
BYC,
QTUM,
ZEC,
XCP,XCP Counterparty 
UNB,
DYN,DYN Dynamic
FUN,FUN FunFair
MYST,
BSD,
XRP,
SNT,
XMR,
LTC,LTC Litecoin
XMY,
XZC,
ADA,
PIVX,
VTR,
PART,
BAY,
BAT,BAT Basic Attenti…
APX,
QRL,
XWC,
EMC,EMC Emercoin
ZEN,ZEN ZenCash
ZCL,
RBY,
ARDR,
2GIVE,
EXCL,
FAIR,FAIR FairCoin
MANA,
VRC,
REP,
DASH,DASH Dash
LSK,
SYNX,
RCN,RCN Ripio Credit ...
GEO,
INCNT,
TIX,
ENG,
POWR,
DNT,
XEM,
MLN,
GCR,
MER,MER Mercury
ANT,ANT Aragon
NXC,
SNRG,
STORJ,STORJ Storj
LMC,
SNGLS,
DMD,
NEOS,
RDD,
GUP,
SLR,
1ST,
AEON,
LBC,
GRC,
RLC,
DGB,
FCT,
NEO,NEO NEO
AMP,
EBST,
DTB,
SEQ,
UBQ,
TRST,
PTC,
OMG,
CVC,CVC Civic
NLG,
DOPE,
VIB,VIB Viberate
SHIFT,
GLD,
IOP,
THC,
BNT,BNT Bancor
FTC,
TRUST,
GBG,
NXS,
BITB,BITB Bean Cash
QWARK,
BRX,
INFX,
SC,SC Siacoin
MUSIC,MUSIC Musicoin
GNT,
XVG,
IOC,
GNO,
XST,XST Stealthcoin
BTC,BTC Bitcoin
