Exact_name,Market_cap,Short_name,Today_rank,Today_rate
Bitcoin,188033776226,BTC,1,11175.30
Dogecoin,857158415,DOGE,38,0.007591
Electroneum,726974039,ETN,43,0.122109
Hshare,743606320,HSR,42,17.48
Decred,616583341,DCR,48,93.04
Kucoin Shares,644784362,KCS,46,7.08
Komodo,678481842,KMD,45,6.56
Ark,679697147,ARK,44,6.94
Pivx,547474178,PIVX,53,9.88
Waves,886039000,WAVES,37,8.86
Verge,1319098775,XVG,27,0.090888
Bitshares,1102992375,BTS,32,0.423006
Stratis,1221287027,STRAT,29,12.37
Kingn Coin,85653,KNC,1091,42.64
Bt1 [Cst],,BT,1488,18273.00
Zcash,1435947389,ZEC,26,458.14
Global Business Revolution,,GBRC,1487,0.001694
Siacoin,1201043874,SC,30,0.038254
Ocow,,OCOW,1486,0.000017
Bitfid,,FID,1483,0.025435
Rhfcoin,,RHFC,1482,0.001025
Operand,,OP,1481,0.002392
Invisiblecoin,,IVZ,1480,0.573832
Bytecoin,1207831268,BCN,30,0.006576
Wincoin,,WC,1485,1.34
Trickycoin,,TRICK,1479,0.010593
Hyper,,HYPER,1478,0.159766
Linkedcoin,,LKC,1475,0.000445
Moneta,,MONETA,1474,0.000779
Psilocybin,,PSY,1476,0.038900
Deltacredits,,DCRE,1470,0.202185
Gameleaguecoin,,GML,1469,0.014808
Lepen,,LEPEN,1467,0.000223
Dashs,,DASHS,1466,0.082945
Frankywillcoin,,FRWC,1473,0.003785
Lathaan,,LTH,1464,0.001113
Kashhcoin,,KASHH,1463,0.000111
Cybercoin,,CC,1462,0.000223
Voyacoin,,VOYA,1461,1.20
Utacoin,,UTA,1458,0.001447
Sportscoin,,SPORT,1457,0.001670
Axiom,,AXIOM,1456,0.016144
Bubble,,BUB,1460,0.032287
Futcoin,,FUTC,1459,0.001893
The Vegan Initiative,,XVE,1455,0.001002
Thecreed,,TCR,1453,0.000668
Karmacoin,,KARMA,1454,0.000111
Teamup,,TEAM,1447,0.000334
Cycling Coin,,CYC,1451,0.002115
Prismchain,,PRM,1452,0.002227
Xaucoin,,XAU,1444,0.044534
Royalcoin,,ROYAL,1446,0.009352
Mobilecash,,MBL,1444,0.000557
Xde Ii,,XDE,1443,5.31
Regacoin,,REGA,1442,0.004342
X2,,X,1440,0.000334
Rupaya [Old],,RUPX,1439,0.006569
Huncoin,,HNC,1438,0.003229
Eggcoin,,EGG,1441,0.026052
Mmxvi,,MMXVI,1437,0.005901
Qora,,QORA,1436,0.400416
Darklisk,,DISK,1435,0.002338
Yescoin,,YES,1434,0.000111
Tattoocoin (Limited Edition),,TLE,1432,1.99
International Diamond,,XID,1430,0.005010
Richcoin,,RICHX,1433,0.011579
Omicron,,OMC,1427,0.176800
Namocoin,,NAMO,1426,0.000111
Lazaruscoin,,LAZ,1428,0.001670
Moneycoin,,MONEY,1423,0.000111
Aseancoin,,ASN,1425,0.009241
Bitalphacoin,,BAC,1422,0.006903
Birds,,BIRDS,1424,0.000668
Fireflycoin,,FFC,1419,0.000111
Pinkdog,,PDG,1417,0.000779
Runners,,RUNNERS,1416,0.000668
Primulon,,PRIMU,1413,0.000640
Rabbitcoin,,RBBT,1412,0.000062
Avatarcoin,,AV,1414,0.067135
Mavro,,MAVRO,1418,0.109776
Digital Bullion Gold,,DBG,1408,0.004342
Peoplecoin,,MEN,1404,0.000111
Betacoin,,BET,1406,0.011690
Pokecoin,,POKE,1410,0.000223
Halloween Coin,,HALLO,1400,0.000780
Paypeer,,PAYP,1399,0.000111
Bastonet,,BSN,1397,0.002227
Dutch Coin,,DUTCH,1401,0.001113
Avoncoin,,ACN,1396,0.001336
Topaz Coin,,TOPAZ,1394,0.912836
Cbd Crystals,,CBD,1393,0.002227
Glasscoin,,GLS,1388,0.443559
Cheapcoin,,CHEAP,1389,0.001002
Elacoin,,ELC,1391,0.551220
Deuscoin,,DEUS,1395,0.188602
Cashme,,CME,1384,0.000223
Netbit,,NBIT,1385,0.029161
Teracoin,,TERA,1386,0.000023
Antimatter,,ANTX,1382,0.000334
Granite,,GRN,1381,0.027611
Aces,,ACES,1380,0.004561
Uncoin,,UNC,1374,0.000111
Bt2 [Cst],,BT,1383,94.69
Francs,,FRN,1370,0.100870
Ugain,,GAIN,1368,0.015121
Marxcoin,,MARX,1365,0.005233
Bitok,,BITOK,1362,0.000223
Shellcoin,,SHELL,1364,0.085839
Opescoin,,OPES,1363,0.004119
Gay Money,,GAY,1365,0.082499
Universalroyalcoin,,UNRC,1353,0.003829
Shacoin,,SHA,1360,0.006903
Landcoin,,LDCN,1361,0.008311
Blazercoin,,BLAZR,1351,0.005218
Alpacoin,,APC,1355,0.015566
Wink,,WINK,1350,0.003145
Vulcano,,VULC,1349,0.009951
High Gain,,HIGH,1348,0.000891
Mergecoin,,MGC,1352,0.013137
India Coin,,INDIA,1346,0.001893
Dynamiccoin,,DMC,1344,0.006708
Ur,,UR,1341,0.005233
Sakuracoin,,SKR,1344,0.010466
Bitbase,,BTB,1347,0.002895
Akuya Coin,,AKY,1339,0.043421
Todaycoin,,TODAY,1338,0.001670
Flappycoin,,FLAP,1340,0.000019
Edrcoin,,EDRC,1335,0.190684
Turbocoin,,TURBO,1337,0.000223
Donationcoin,,DON,1332,0.003897
Wa Space,,WA,1334,0.031508
Cubits,,QBT,1328,0.011356
Zilbercoin,,ZBC,1336,0.087674
Quotient,,XQN,1323,0.013360
Pirate Blocks,,SKULL,1331,0.008903
Vpncoin,,VASH,1330,0.005567
Bestchain,,BEST,1320,0.017632
Wowcoin,,WOW,1323,0.000395
Rcoin,,RCN,1322,0.000111
Tellurion,,TELL,1320,0.001219
Goldmaxcoin,,GMX,1319,0.006349
Dubstep,,DUB,1317,0.004008
Fonziecoin,,FONZ,1316,0.003897
Peepcoin,,PCN,1315,0.000028
Xtd Coin,,XTD,1314,0.000223
Irishcoin,,IRL,1313,0.037854
T-Coin,,TCOIN,1311,0.000347
Sharkcoin,,SAK,1310,0.009119
Topcoin,,TOP,1309,0.005567
Happy Creator Coin,,HCC,1307,0.000111
Phantomx,,PNX,1305,0.150859
Techshares,,THS,1304,0.552222
Animecoin,,ANI,1303,0.002783
Tokyo,,TOKC,1300,0.005436
Safecoin,,SFE,1302,0.000111
Bitcedi,,BXC,1294,0.049989
Protean,,PRN,1295,0.000112
Compcoin,,CMP,1291,18.37
Pabyosi Coin (Special),,PCS,1298,0.048990
Fazzcoin,,FAZZ,1290,0.156809
Kzcash,,KZC,1290,6.09
Rublebit,,RUBIT,1293,0.030506
Magnetcoin,,MAGN,1288,0.790479
Peacecoin,,PEC,1286,0.018593
First Bitcoin,,BIT,1287,0.087955
Boscoin,,BOS,1284,2.54
Magiccoin,,MAGE,1282,1.95
Sigmacoin,,SIGMA,1282,0.072436
Msd,,MSD,1280,0.006527
Zsecoin,,ZSE,1265,0.082646
Bitcoin God,,GOD,1275,69.55
Casinocoin,,CSC,1265,0.001225
Cyder,,CYDER,1281,0.016812
Wearesatoshi,,WSX,1261,0.023158
Golfcoin,,GOLF,1257,0.000779
Terranova,,TER,1271,35.52
Galactrum,,ORE,1256,9.58
B3Coin,,KB,1255,0.037075
Html5Coin,,HTML,1254,0.002672
Golos Gold,,GBG,1260,0.185542
Harvest Masternode Coin,,HC,1244,2.50
Sparks,,SPK,1240,11.14
Infinity Economics,,XIN,1247,0.016589
Clubcoin,,CLUB,1238,2.06
Jiyo,,JIYO,1237,0.071254
Swisscoin,,SIC,1234,0.003785
Strikebitclub,,SBC,1230,0.161547
Infchain,,INF,1229,0.013546
Bitcoin Lightning,,BLT,1226,8.71
Infinitecoin,,IFC,1223,0.000351
Davorcoin,,DAV,1222,66.80
Bitsoar,,BSR,1220,0.122469
Ea Coin,,EAG,1208,0.831478
Ignition,,IC,1217,37.03
United Bitcoin,,UBTC,1209,108.01
Tokugawa,,TOK,1218,4.01
Bitcoin Atom [Futures],,BCA,1189,89.64
Homeblockcoin,,HBC,1220,2.55
Filecoin [Futures],,FIL,1206,23.49
Safe Trade Coin,,XSTC,1202,0.003451
Qbic,,QBIC,1198,31.92
Segwit2X,,"B,X",1185,19.48
Fargocoin,,FRGC,1178,10.42
Lightning Bitcoin [Futures],,LBTC,1182,176.56
Super Bitcoin,,SBTC,1169,102.31
Aidos Kuneen,,ADK,1165,53.44
Bitcoinx,,BCX,1148,0.025655
Tezos (Pre-Launch),,XTZ,1163,3.90
Stronghands,,SHND,1203,0.000003
Ofcoin,,OF,1135,0.004247
Bitcoin Diamond,,BCD,1139,18.98
Atmcoin,,ATMC,1130,7.09
Digital Credits,2595,DGCS,1127,0.000445
Pizzacoin,4449,PIZZA,1125,0.003229
Ebittree Coin,2675,EBT,1126,0.002115
Coffeecoin,4577,CFC,1124,0.000031
Sydpak,18291,SDP,1120,0.114256
Selfiecoin,12005,SLFI,1122,0.000111
Save And Gain,22521,SANDG,1118,0.007348
Nodecoin,22611,NODC,1117,0.013472
Rawcoin,27611,XRC,1116,0.039170
P7Coin,39212,"P,C",1114,0.001113
Crtcoin,42363,CRT,1112,0.534408
Levoplus,39592,LVPS,1113,0.020498
Cabbage,44250,CAB,1111,0.004214
Letitride,44729,LIR,1110,0.001225
Biobar,36981,BIOB,1115,0.041751
High Voltage,47910,HVCO,1108,0.032065
Orlycoin,53041,ORLY,1106,0.001447
Antilitecoin,52627,ALTC,1107,0.001670
Xonecoin,54036,XOC,1105,0.128658
G3N,55566,"G,N",1104,0.007348
Impulsecoin,58605,IMPS,1103,0.002895
Ego,60121,EGO,1102,0.001002
Osmiumcoin,62111,OS,1100,0.069473
Posex,63913,PEX,1099,0.026052
Credence Coin,60326,CRDNC,1101,0.017603
Tagrcoin,73190,TAGR,1097,0.001893
Zonecoin,45994,ZNE,1109,0.017814
Gamebet Coin,75753,GBT,1096,0.003563
Bowscoin,76004,BSC,1095,0.013694
Shilling,77111,SH,1094,0.013917
Unrealcoin,64911,URC,1098,0.009241
Steps,85018,STEPS,1092,0.004565
Ride My Car,78930,RIDE,1093,0.000779
Bioscrypto,88091,BIOS,1090,0.004231
Arbit,99337,ARB,1087,0.012136
Zayedcoin,100103,ZYD,1086,0.016032
Pulse,98703,PULSE,1088,0.006903
Destiny,105100,DES,1085,0.065688
Plncoin,106550,PLNC,1082,0.006235
Cryptoworldx Token,106223,CWXT,1083,0.001781
Torcoin,106204,TOR,1084,0.335898
Quebecoin,106871,QBC,1081,0.007125
Printerium,109045,PRX,1080,0.009224
Billarycoin,111133,BLRY,1079,0.012358
Dappster,111335,DLISK,1077,0.001113
Playercoin,117303,PLACO,1075,0.003340
Litecred,114115,LTCR,1076,0.003775
Mindcoin,111298,MND,1078,0.007014
Beavercoin,120288,BVC,1074,0.038612
Flavorcoin,134948,FLVR,1071,0.006457
Metal Music Coin,124257,MTLMC,1072,0.001559
Uro,140331,URO,1068,0.116234
Vip Tokens,139365,VIP,1069,0.001670
Piecoin,138993,PIE,1070,0.012581
Dreamcoin,144648,DRM,1067,0.058896
Californium,154133,CF,1066,0.063684
Antibitcoin,163337,ANTI,1065,0.009352
Islacoin,173584,ISL,1064,0.114675
Vaperscoin,173710,VPRC,1063,0.000223
Guccionecoin,176162,GCC,1062,0.008684
Bitcoin 21,185432,XBTC,1061,0.233804
Yacoin,201449,YAC,1059,0.001670
Firecoin,208144,FIRE,1058,2.12
Blackstar,210689,BSTAR,1057,0.000334
Jewels,215705,JWL,1054,0.010688
Vectorai,211720,VEC,1056,0.012581
Tychocoin,195786,TYCHO,1060,0.038967
Virta Unique Coin,246866,VUC,1052,0.004008
Sacoin,232822,SAC,1053,0.033178
Gbcgoldcoin,215002,GBC,1055,0.018923
Goldpieces,312040,GP,1048,0.255737
Sling,284539,SLING,1049,0.264910
Freicoin,280451,FRC,1050,0.009352
Sproutsextreme,319154,SPEX,1047,0.000111
Mao Zedong,344448,MAO,1044,0.055222
Gold Pressed Latinum,329873,GPL,1045,1.29
Cypher,328827,CYP,1046,0.051659
Jin Coin,388135,JIN,1041,0.038967
Wmcoin,352622,WMC,1042,0.030590
Bitcoin Planet,404277,BTPL,1038,0.067024
Cashcoin,392792,CASH,1039,0.008239
Secretcoin,349804,SCRT,1043,0.082722
Satoshimadness,445492,MAD,1036,0.000223
Dollarcoin,467407,DLC,1035,0.051326
Securecoin,388800,SRC,1040,0.046333
Joincoin,508508,J,1032,0.167003
Globalcoin,486140,GLC,1033,0.007459
Px,547441,PX,1031,0.005567
Bitz,555912,BITZ,1030,0.279228
Btctalkcoin,603338,TALK,1028,0.009241
Grantcoin,485529,GRT,1034,0.011133
Flycoin,638009,FLY,1027,3.03
Fimkrypto,642408,FIMK,1026,0.001113
Valorbit,677771,VAL,1025,0.000111
Fincoin,701489,FNC,1024,0.054469
Wayguide,723973,WAY,1023,0.007237
Colossuscoin V2,787857,CV,1021,0.000334
Icoin,921624,ICN,1019,0.031397
Stress,943791,STS,1018,0.001670
Metalcoin,950661,METAL,1017,0.012358
Signatum,1021798,SIGT,1015,0.009463
Bittokens,1094972,BXT,1013,1.90
Tattoocoin (Standard Edition),1077187,TSE,1014,0.011913
Ambercoin,1260109,AMBER,1011,0.028836
Ultimate Secure Cash,1111243,USC,1012,0.107438
Prototanium,1005200,PR,1016,5.12
Pascal Lite,1434760,PASL,1007,0.291449
Universe,1307117,UNI,1010,0.090116
Maxcoin,1436627,MAX,1006,0.023380
Britcoin,1755558,BRIT,1005,0.082544
Shadowcash,1881192,SDC,1004,0.280979
Cryptcoin,2749156,CRYPT,998,0.452913
Tao,11627131,XTO,993,0.355028
Corgicoin,2090636,CORG,1001,0.001670
Shorty,1926100,SHORTY,1003,0.019261
Peerplays,47522012,PPY,990,12.02
Virtacoin,13873871,VTA,991,0.002667
Yashcoin,2004091,YASH,1002,0.200403
Applecoin,25,APW,989,0.000223
Abncoin,2254,ABN,988,0.033289
Digital Money Bits,3752,DMB,987,0.008907
Tristar Coin,9516,TSTR,985,0.001893
Magnum,22510,MGM,980,0.005567
Harmonycoin,4422,HMC,986,0.007878
Caliphcoin,16371,CALC,982,0.002461
Ulatech,19609,ULA,981,0.096973
Concoin,24030,CONX,979,0.032287
Agrolifecoin,24778,AGLC,978,0.003006
Geysercoin,16342,GSR,983,0.348702
Ibank,27213,IBANK,977,0.006012
Project-X,40082,NANOX,974,512141
Crevacoin,35505,CREVA,976,0.000976
Coimatic 2.0,41421,CTIC,973,0.003061
Vault Coin,41655,VLTC,972,0.001371
Elysium,49049,ELS,969,0.012247
Rsgpcoin,48773,RSGP,971,28.20
Coupecoin,49520,COUPE,968,0.000227
Bitvolt,48794,VOLT,970,0.003229
Argus,49772,ARGUS,967,0.043343
Cybcsec,79053,XCS,964,0.006680
Jobscoin,59018,JOBS,965,0.000557
Wild Beast Block,81016,WBB,963,0.445340
Slevin,93521,SLEVIN,962,0.001336
Geertcoin,96917,GEERT,960,0.019036
Warp,97306,WARP,959,0.088845
Prcoin,100553,PRC,957,0.005790
Womencoin,100819,WOMEN,956,0.002280
Speedcash,99434,SCS,958,0.379764
Dollar Online,102217,DOLLAR,955,0.135606
Anarchistsprime,115526,ACP,953,0.026287
Socialcoin,117027,SOCC,952,0.084503
Iconic,118818,ICON,951,0.200403
Cryptoescudo,96264,CESC,961,0.000668
Artex Coin,125015,ATX,950,0.006656
Milocoin,132492,MILO,949,0.012279
Litecoin Ultra,135994,LTCU,947,0.138812
Master Swiscoin,133101,MSCN,948,0.002948
Ponzicoin,143326,PONZI,944,0.166446
Braincoin,143855,BRAIN,943,0.014251
Aerium,149530,AERM,941,0.098279
Neuro,170022,NRO,939,0.003785
Boat,140422,BOAT,945,0.007571
Leacoin,182430,LEA,936,0.000557
Roofs,159210,ROOFS,940,0.001225
Crypto,188413,CTO,934,0.014696
Luna Coin,182858,LUNA,935,0.107158
Zetamicron,200518,ZMC,929,0.000334
Healthywormcoin,201564,WORM,928,0.001781
Asiadigicoin,188748,ADCN,933,0.007571
Cthulhu Offerings,209075,OFF,927,0.079716
Enigma,211672,XNG,926,0.402810
Allion,198169,ALL,930,0.031966
Bnrtxcoin,219990,BNX,923,0.007905
Spots,222475,SPT,922,0.009929
Global Tour Coin,222944,GTC,921,0.007459
Usde,232507,USDE,919,0.000205
Allsafe,229657,ASAFE,920,0.028006
Tajcoin,214921,TAJ,924,0.026236
Comet,254519,CMT,914,0.291602
Solarflarecoin,251922,SFC,916,0.017888
Theresa May Coin,258701,MAY,913,0.008892
Impact,243844,IMX,917,0.002227
X-Coin,279374,XCO,911,0.022558
Bipcoin,260705,BIP,912,0.160211
Digital Rupees,284351,DRS,910,0.000557
Benjirolls,236831,BENJI,918,0.011680
Hempcoin,302084,HMP,906,0.000223
Ecocoin,302970,ECO,905,0.262709
Gpu Coin,310949,GPU,904,0.007682
Money,301423,,908,0.006569
Soilcoin,301548,SOIL,908,0.052884
Tekcoin,314868,TEK,903,0.000223
Acoin,324118,ACOIN,900,0.265652
Franko,320207,FRK,901,0.344025
Sojourn,324128,SOJ,899,0.668011
Coinonat,326191,CXT,898,0.037827
Bitquark,332952,BTQ,897,0.035405
Kronecoin,353016,KRONE,893,0.076709
Advanced Internet Blocks,350864,AIB,895,0.014695
Paycon,351987,CON,894,0.015275
Evotion,355120,EVO,891,0.110585
Nevacoin,345119,NEVA,896,0.135381
Compucoin,364702,CPN,889,0.018593
Fuzzballs,371234,FUZZ,887,0.076861
Globaltoken,362381,GLT,890,0.012956
Creatio,376603,XCRE,886,0.018353
Cannation,380986,CNNC,883,0.153816
Songcoin,378868,SONG,884,0.011634
Honey,394187,HONEY,882,0.979425
Cachecoin,397107,CACH,881,0.094659
Briacoin,424208,BRIA,879,0.639300
Flaxscript,367505,FLAX,888,0.065688
Virtacoinplus,433892,XVP,878,0.039702
Icobid,488144,ICOB,861,0.004560
Rupaya,413348,RUPX,880,0.067030
Beatcoin,452133,XBTS,874,0.296542
Marijuanacoin,454136,MAR,873,0.278338
Spacecoin,469150,SPACE,869,0.021913
Eryllium,467682,ERY,871,0.083272
Votecoin,468757,VOT,870,0.028453
Independent Money System,480257,IMS,864,0.089451
Ronpaulcoin,482939,RPC,863,0.531620
Mustangcoin,480192,MST,865,0.761794
Reecoin,489900,REE,860,0.000191
